time,open,high,low,close,Plot,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1774877400,129.64,130.3,123.53,123.88,123.88,0,0,0,0
1774891800,123.9,124.82,120.8,121.435,121.435,0,0,0,0
1774963800,123.01,124.2,117.75,122.18,122.18,0,0,0,0
1774978200,122.13,125.28,121.4,124.9,124.9,0,0,0,0
1775050200,126.155,126.28,122.1,124.54,124.54,0,0,0,0
1775064600,124.53,124.72,121.47,122.78,122.78,0,0,0,0
1775136600,119.61,122.62,116.42,120.45,120.45,0,0,0,0
1775151000,120.34,120.47,118.61,119.86,119.86,0,0,0,0
1775482200,124.57,128.44,123.2,125.27,125.27,0,0,0,0
1775496600,125.23,127.91,124.42,127.76,127.76,0,0,0,0
1775568600,125.24,126.74,121.13,122.89,122.89,0,0,0,0
1775583000,122.93,124.4,121.5,123.77,123.77,0,0,0,0
1775655000,133.665,134.48,126.63,128.42,128.42,0,0,0,0
1775669400,128.46,129.59,126.18,128.28,128.28,0,0,0,0
1775741400,127.86,132.22,125.82,130.83,130.83,0,0,0,0
1775755800,130.8,131.72,127.7,128.92,128.92,0,0,0,0
1775827800,130.06,132.25,127.41,128.88,128.88,0,0,0,0
1775842200,128.87,129.11,127.7,128.63,128.63,0,0,0,0
1776087000,126.57,131.61,125.03,131.01,131.01,0,0,0,0
1776101400,131.03,132.48,129.62,132.41,132.41,0,0,0,0
1776173400,137.97,143.7,137.3,138.685,138.685,0,0,0,0
1776187800,138.67,138.98,136.32,137.405,137.405,0,0,0,0
1776259800,139.75,140.2,137.04,138.22,138.22,0,0,0,0
1776274200,138.26,143.6,137.88,143.53,143.53,0,0,0,0
1776346200,143.18,145.9,139.33,143.85,143.85,0,0,0,0
1776360600,143.84,149.14,143.65,149.06,149.06,0,0,0,0
1776432600,154.57,173.15,153.74,163.9,163.9,0,0,0,0
1776447000,163.82,167.25,163.06,166.54,166.54,0,0,0,0
1776691800,162.295,167.27,160.68,166.92,166.92,0,0,0,0
1776706200,166.92,171.05,166.61,170.89,170.89,0,0,0,0
1776778200,170.5,172.9,163.91,164.95,164.95,0,0,0,0
1776792600,164.88,169.5,163.75,164,164,0,0,0,0
1776864600,174.97,183.25,174.2,177.16,177.16,0,0,0,0
1776879000,177.1,179.96,176.68,179.185,179.185,0,0,0,0
1776951000,175.88,180.92,173.78,175.65,175.65,0,0,0,0
1776965400,175.61,176.68,171.25,172.52,172.52,0,0,0,0
1777037400,176.88,177.26,169.03,171.36,171.36,0,0,0,0
1777051800,171.36,172.66,170.02,171.005,171.005,0,0,0,0
1777296600,170.76,175.76,167.63,171.135,171.135,0,0,0,0
1777311000,171.13,171.76,168.75,169.23,169.23,0,0,0,0
1777383000,163.96,166.49,159.7,165.56,165.56,0,0,0,0
1777397400,165.56,166.84,164.98,165.78,165.78,0,0,0,0
1777469400,165.82,165.82,158.2,159.73,159.73,0,0,0,0
1777483800,159.79,160.08,156.4,158.19,158.19,0,0,0,0
1777555800,161.725,166.64,159.03,163.84,163.84,0,0,0,0
1777570200,163.87,166.82,163.87,165.38,165.38,0,0,0,0
1777642200,170.875,178.15,169.43,177.61,177.61,0,0,0,0
1777656600,177.62,180.375,176.41,177.18,177.18,0,0,0,0
1777901400,180.9,186.01,178.5,185.28,185.28,0,0,0,0
1777915800,185.28,185.7,182.13,183.97,183.97,0,0,0,0
1777987800,189.55,190.41,183.75,184.81,184.81,0,0,0,0
1778002200,184.79,187.85,184.12,186.74,186.74,0,0,0,0
1778074200,184.77,188.24,181.85,184.87,184.87,0,0,0,0
1778088600,184.86,187.5,182.85,186.81,186.81,0,0,0,0
1778160600,184.75,184.75,175.83,176.41,176.41,0,0,0,0
1778175000,176.43,180.22,175.72,179.83,179.83,0,0,0,0
1778247000,178.68,185.3,177.63,183.23,183.23,0,0,0,0
1778261400,183.26,187.78,183.15,187.55,187.55,0,0,0,0
1778506200,189.15,193.97,182.31,193.79,193.79,0,0,0,0
