time,open,high,low,close,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1749648600,391.48,392.77,386.8,388.73,1,0,0,0
1749663000,388.8,388.91,380.52,386.74,1,0,0,0
1749735000,378.4,390.93,374,390.22,1,0,0,0
1749749400,390.3,391.22,379.15,379.77,1,0,0,0
1749821400,375.235,381.45,370.58,377.61,1,0,0,0
1749835800,377.74,383.55,374,383.15,1,0,0,0
1750080600,387.63,388.15,377.48,381.37,1,0,0,0
1750095000,381.38,383.1,378.14,382.15,1,0,0,0
1750167000,375.255,378.48,367.12,371.11,1,0,0,0
1750181400,371.04,376.63,367.5,375.2,1,0,0,0
1750253400,371.44,374.77,367.77,369.7,1,0,0,0
1750267800,369.69,372.15,367.43,369.09,1,0,0,0
1750426200,372.5,376.1,366.16,367.66,1,0,0,0
1750440600,367.57,371.45,365.11,369.92,1,0,0,0
1750685400,362.47,370.3,358.8,368.055,1,0,0,0
1750699800,368.27,370,365.96,367.23,0,0,0,0
1750771800,373.665,384.22,371,380.39,0,0,0,0
1750786200,380.51,383.25,375.7,377.13,0,0,0,0
1750858200,384.915,388.6,379.37,384.81,0,0,0,0
1750872600,384.71,389.49,382.73,388.52,0,0,0,0
1750944600,386.19,392.68,384.39,386.22,0,0,0,0
1750959000,386.17,388.44,384.15,386.49,0,0,0,0
1751031000,385.225,397.98,383.4,394.18,0,0,0,0
1751045400,394.09,395.14,383.69,383.69,0,0,0,0
1751290200,389.6,405.18,384.33,402.41,0,0,0,0
1751304600,402.47,407.37,399.53,404.33,0,0,0,0
1751376600,395.7,397.81,376.81,380.3,0,0,0,0
1751391000,380.41,382.14,372.93,373.21,0,0,0,0
1751463000,382.98,398.025,379.9,396.74,0,0,0,0
1751477400,396.79,405.26,394.41,402.28,0,0,0,0
1751549400,400.61,414.66,400.28,403.92,0,0,0,0
1751895000,402.67,405.61,396.1,402.14,0,0,0,0
1751909400,402.11,403.2,395.33,395.75,0,0,0,0
1751981400,399.49,402.19,393.17,397.58,0,0,0,0
1751995800,397.43,399.49,395.3,396.8,0,0,0,0
1752067800,401.71,406,396,401.97,0,0,0,0
1752082200,401.71,416.35,401.3,415.54,0,0,0,0
