time,open,high,low,close,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim
1758648600,0.9947137353283756,0.9947137353283756,0.9926144756277695,0.9926144756277695,0.9896644276502587,0.9971853897351147,0.9971853897351147,0.9969042112262636,1.0084387958168763,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758720600,0.9952925353059852,0.9973505770353406,0.9952925353059852,0.9969012439933534,0.9888586794268682,0.9964907837120769,0.9964907837120769,0.9969042112262636,1.0084387958168763,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758735000,0.9964972157355847,0.9971241125190977,0.9953714105963241,0.9965845766672657,0.9885498679764297,0.9961579732103688,0.9961579732103688,0.9969042112262636,1.0082529389572037,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758807000,0.9954954954954955,0.9989189189189189,0.9949490394155317,0.9962117795616487,0.9878784281696419,0.9955789108452004,0.9955789108452004,0.9969042112262636,1.0082529389572037,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758821400,0.9956709956709958,0.9956709956709958,0.9824687908423093,0.9907257338375652,0.9865328221534321,0.994497773777461,0.994497773777461,0.9944008078091874,1.0082529389572037,0,0,0,0,-16.039297777908644,-40,-60,10,30,50,,,,,,,,,,
1758893400,0.9904624797552636,0.9904624797552636,0.9836109860423233,0.9887964004499438,0.985208558622105,0.9934518071077507,0.9934518071077507,0.9926424826101513,1.0082529389572037,0,0,0,0,-16.10474114489075,-40,-60,10,30,50,,,,,,,,,,
1758907800,0.9887519121749303,0.9903218546027459,0.9882204837694453,0.9882204837694453,0.9839857536343896,0.9924724279591465,0.9924724279591465,0.9926424826101513,1.0003386701927233,0,0,0,0,-16.1118467725955,-40,-60,10,30,50,,,,,,,,,,
1759152600,0.991207608110533,0.9942698540603456,0.9881725729133999,0.994129509298678,0.9835708349856843,0.9920657890265195,0.9920657890265195,0.9926424826101513,1.0003386701927233,0,0,0,0,-16.1118467725955,-40,-60,10,30,50,,,,,,,,,,
1759167000,0.997535290163567,0.9988799784955871,0.9963264940417526,0.9968635182364011,0.9832597365776774,0.9917660645995482,0.9917660645995482,0.9932129827768356,1.0003386701927233,0,0,0,0,-16.1118467725955,-40,-60,10,30,50,,,,,,,,,,
1759239000,1.0017913121361397,1.00994891099758,1.0017913121361397,1.0057819013042892,0.983605710456656,0.9921001530720114,1.0005945956873668,1.0005583989373883,1.0003386701927233,0,0,0,0,-8.611846772595497,-40,-60,10,30,50,,,,,,,,,,
1759253400,1.0064545047064097,1.0092887592551043,1.0048898658651473,1.0069973984031577,0.9841680863409287,0.9926293148354722,1.001090543330016,1.0009463901529934,1.0003386701927233,0,0,0,0,-8.555596980067904,-40,-60,10,30,50,,,,,,,,,,
1759325400,1.0095118449389806,1.0185426300902438,1.0095118449389806,1.0181867169607977,0.985443657786188,0.9940884112510922,1.0027331647159963,1.0107910616896025,1.0003386701927233,0,0,0,0,-0.9808681068778575,-40,-60,10,30,50,,,,,,,,,,
1759339800,1.018276527908752,1.026544704510806,1.018276527908752,1.0262780269058296,0.986939712130926,0.9961118641772301,1.0052840162235341,1.0172943317322518,1.0003386701927233,0,0,0,0,-0.8282199492284952,-40,-60,10,30,50,,,,,,,,,,
1759411800,1.030680900690769,1.0315553563424473,1.0220548682087143,1.0236368520010743,0.9886015505378605,0.998070610088975,1.0075396696400896,1.018746863015543,1.0003386701927233,0,0,0,0,-0.7651517960242603,-40,-60,10,30,50,,,,,,,,,,
1759426200,1.0248903214253737,1.0293156693371526,1.0248903214253737,1.0277578796561604,0.9902978812125959,1.0002616467571035,1.010225412301611,1.023013869085875,1.006670648918067,0,0,0,0,-0.7136739724210599,-40,-60,10,30,50,,,,,,,,,,
1759498200,1.03443026639803,1.0460532210375415,1.03443026639803,1.0460063611521748,0.9923105077289058,1.0038116501181211,1.0153127925073364,1.0384735222170647,1.006670648918067,0,0,0,0,-0.5594954494180036,-40,-60,10,30,50,,,,,,,,,,
1759512600,1.0455156347997492,1.046360582306831,1.038640846333154,1.038640846333154,0.9943282082466394,1.006717806843753,1.0191074054408666,1.0384735222170647,1.0195560033441924,0,0,0,0,-0.4852757600964079,-40,-60,10,30,50,,,,,,,,,,
1759757400,1.0513166172373507,1.0513166172373507,1.0450418052683628,1.0461490069201043,0.9967398881200704,1.0102978929683337,1.023855897816597,1.0401508215846038,1.0195560033441924,0,0,0,0,-0.3785038153790042,-40,-60,10,30,50,,,,,,,,,,
1759771800,1.0462879741146862,1.049233397778877,1.0461718293395674,1.046903808967037,0.9989094710981798,1.0136133910380063,1.0283173109778327,1.041773930868091,1.0326198466222474,0,0,0,0,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,
1759843800,1.0504760194000358,1.0507880910683012,1.037176724137931,1.0394889142118817,1.0012871269594938,1.016604902405332,1.0319226778511703,1.041773930868091,1.0326198466222474,0,0,0,0,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,
1759858200,1.0407842785355348,1.0437631850621663,1.028604786923526,1.0342072185311546,1.0035580713654626,1.019225942635148,1.0348938139048334,1.041773930868091,1.0326198466222474,0,0,0,0,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,
1759930200,1.0384374160021503,1.0399856553702707,1.0346064192218039,1.037652021720594,1.0057854233685304,1.021955089712818,1.0381247560571056,1.041773930868091,1.0326198466222474,0,0,0,0,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,
1759944600,1.0387722132471728,1.0415206255055272,1.0387722132471728,1.0415206255055272,1.008124160600534,1.0249194721842996,1.0417147837680651,1.041773930868091,1.0326198466222474,0,0,0,0,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,
1760016600,1.0411008184189225,1.041820307581617,1.0357561019544268,1.037874352623283,1.0099443464928537,1.0272367032533698,1.044529060013886,1.041773930868091,1.0326198466222474,0,0,0,0,-0.35248614211917295,-40,-60,10,30,50,,,,,,,,,,
